Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status;Gerado em
P1;APO 10 - Conta Corrente Integrado (Recria) - 0050_04 PLU_AGRO 0050 XANXERE SC OVOS FERTEIS;PLUMA_AGRO.PPE.1755.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0051_04 PLU_AGRO 0051 CRAVINHOS SP OVOS FERTEIS;PLUMA_AGRO.PPE.2397.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0052_04 PLU_AGRO 0052 MORRO AGUDO SP OVOS FERTEIS;PLUMA_AGRO.PPE.3509.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0053_04 PLU_AGRO 0053 XANXERE SC OVOS FERTEIS;PLUMA_AGRO.PPE.3845.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0054_04 PLU_AGRO 0054 MONDAI SC OVOS FERTEIS;PLUMA_AGRO.PPE.4352.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0055_04 PLU_AGRO 0055 BRASILIA DF OVOS FERTEIS;PLUMA_AGRO.PPE.1440.V1;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0060_04 PLU_AGRO 0060 PONTE SERRADA SC OVOS FERTEIS;PLUMA_AGRO.PPE.5745.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0061_04 PLU_AGRO 0061 OURO VERDE SC OVOS FERTEIS;PLUMA_AGRO.PPE.5762.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0063_04 PLU_AGRO 0063 SAO JOAO D'AL GO OVOS FERTEIS;PLUMA_AGRO.PPE.6014.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0064_04 PLU_AGRO 0064 ITAP D'OESTE PR OVOS FERTEIS;PLUMA_AGRO.PPE.5256.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0065_04 PLU_AGRO 0065 BRASILIA DF OVOS FERTEIS;PLUMA_AGRO.PPE.7617.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0066_04 PLU_AGRO 0066 FX DOS GUEDES SC OVOS FERTEIS;PLUMA_AGRO.PPE.6204.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0067_04 PLU_AGRO 0067 PASSOS MAIA SC OVOS FERTEIS;PLUMA_AGRO.PPE.7339.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0069_04 PLU_AGRO 0069 BRASILIA DF OVOS FERTEIS;PLUMA_AGRO.PPE.6752.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0070_04 PLU_AGRO 0070 ENEAS MARQUES PR OVOS FERTEIS;PLUMA_AGRO.PPE.4969.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0075_04 PLU_AGRO 0075 ESPIGAO ALTO PR OVOS FERTEIS;PLUMA_AGRO.PPE.5439.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0076_04 PLU_AGRO 0076 BOM SUCESSO PR OVOS FERTEIS;PLUMA_AGRO.PPE.7001.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0077_04 PLU_AGRO 0077 RENASCENCA PR OVOS FERTEIS;PLUMA_AGRO.PPE.6563.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0078_04 PLU_AGRO 0078 DOIS VIZINHOS PR OVOS FERTEIS;PLUMA_AGRO.PPE.6325.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0079_04 PLU_AGRO 0079 DOIS VIZINHOS PR OVOS FERTEIS;PLUMA_AGRO.PPE.6117.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0080_04 PLU_AGRO 0080 PEDERNEIRAS SP OVOS FERTEIS;PLUMA_AGRO.PPE.6813.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0081_04 PLU_AGRO 0081 VERE PR OVOS FERTEIS;PLUMA_AGRO.PPE.4891.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0082_04 PLU_AGRO 0082 AREALVA SP OVOS FERTEIS;PLUMA_AGRO.PPE.7487.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0083_04 PLU_AGRO 0083 PEDERNEIRAS SP OVOS FERTEIS;PLUMA_AGRO.PPE.5135.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0085_04 PLU_AGRO 0085 SANTO ANTONIO DO SUDOESTE PR OVO;PLUMA_AGRO.PPE.5195.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0086_04 PLU_AGRO 0086 BORACEIA SP OVOS FERTEIS;PLUMA_AGRO.PPE.5407.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0088_04 PLU_AGRO 0088 MINEIROS GO OVOS FERTEIS;PLUMA_AGRO.PPE.5461.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0089_04 PLU_AGRO 0089 BRODOWSKI SP OVOS FERTEIS;PLUMA_AGRO.PPE.6471.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0092_04 PLU_AGRO 0092 MINEIROS GO OVOS FERTEIS;PLUMA_AGRO.PPE.6268.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0093_04 PLU_AGRO 0093 MINEIROS GO OVOS FERTEIS;PLUMA_AGRO.PPE.6113.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0094_04 PLU_AGRO 0094 CAFEZAL DO SUL PR OVOS FERTEIS;PLUMA_AGRO.PPE.5618.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0095_04 PLU_AGRO 0095 CAMPO VERDE MT OVOS FERTEIS;PLUMA_AGRO.PPE.6975.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0402_04 PLUSV_AGRO 0002 UMUARAMA PR OVOS FERTEIS;PLUSVAL.PPE.0775.V2;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0411_04 PLUSV_AGRO 0011 RONCADOR PR OVOS FERTEIS;PLUSVAL.PPE.1223.V2;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0419_04 PLUSV_AGRO 0019 RONCADOR PR OVOS FERTEIS;PLUSVAL.PPE.1303.V2;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 10 - Conta Corrente Integrado (Recria) - 0902_04 PLU_GEN 0002 SAO CARLOS SP OVOS FERTEIS;PLUMA_GEN.PPE.0802.V1;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Em Andamento;2026-04-27 09:45
P1;APO 110 - Conta Corrente Integrado (Produção) - 0001_04 PLU_AGRO 0001 DOIS VIZINHOS PR OVOS FERTEIS;PLUMA_AGRO.PPE.3614.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Em Andamento;2026-04-27 09:45
P1;APO 110 - Conta Corrente Integrado (Produção) - 0004_04 PLU_AGRO 0004 FAXINAL DOS GUEDES SC OVOS FE;PLUMA_AGRO.PPE.2685.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 110 - Conta Corrente Integrado (Produção) - 0005_04 PLU_AGRO 0005 SAO CARLOS SP OVOS FERTEIS;PLUMA_AGRO.PPE.2988.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 110 - Conta Corrente Integrado (Produção) - 0035_04 PLU_AGRO 0035 BRASILIA DF OVOS FERTEIS;PLUMA_AGRO.PPE.2210.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 115 - Gestão de Não Conformidades (Produção) - 0001_04 PLU_AGRO 0001 DOIS VIZINHOS PR OVOS FERT;PLUMA_AGRO.PPE.3108.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 115 - Gestão de Não Conformidades (Produção) - 0004_04 PLU_AGRO 0004 FAXINAL DOS GUEDES SC OVOS;PLUMA_AGRO.PPE.2072.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 115 - Gestão de Não Conformidades (Produção) - 0005_04 PLU_AGRO 0005 SAO CARLOS SP OVOS FERTEIS;PLUMA_AGRO.PPE.3728.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 115 - Gestão de Não Conformidades (Produção) - 0035_04 PLU_AGRO 0035 BRASILIA DF OVOS FERTEIS;PLUMA_AGRO.PPE.4049.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 120 - Programação de Compra de Ração de Terceiros (PCP PRODUÇÃO) - 0001_04 PLU_AGRO 0001 DOIS V;PLUMA_AGRO.PPE.0771.V12;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 120 - Programação de Compra de Ração de Terceiros (PCP PRODUÇÃO) - 0004_04 PLU_AGRO 0004 FAXINA;PLUMA_AGRO.PPE.3811.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 120 - Programação de Compra de Ração de Terceiros (PCP PRODUÇÃO) - 0005_04 PLU_AGRO 0005 SAO CA;PLUMA_AGRO.PPE.1830.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 120 - Programação de Compra de Ração de Terceiros (PCP PRODUÇÃO) - 0035_04 PLU_AGRO 0035 BRASIL;PLUMA_AGRO.PPE.3989.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 130 - Pagamento Produtor Mensal (Produção) - 0001_04 PLU_AGRO 0001 DOIS VIZINHOS PR OVOS FERTEI;PLUMA_AGRO.PPE.4326.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 130 - Pagamento Produtor Mensal (Produção) - 0004_04 PLU_AGRO 0004 FAXINAL DOS GUEDES SC OVOS F;PLUMA_AGRO.PPE.1984.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
P1;APO 130 - Pagamento Produtor Mensal (Produção) - 0005_04 PLU_AGRO 0005 SAO CARLOS SP OVOS FERTEIS;PLUMA_AGRO.PPE.4484.V2;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Matrizes;Volnei Pereira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado;2026-04-27 09:45
